state_census_code,state,sector,observations,employment,members,covered,p_members,p_covered,state_abbreviation,year
14,Massachusetts,Priv. Manufacturing,316,323700.4673416666,19479.338616666664,22647.08853333333,0.0601770468056201,0.0699630975723266,MA,2021
14,Massachusetts,Priv. Manufacturing,277,291778.5276000002,16558.655341666665,18859.65878333333,0.0567507669329643,0.0646369010210037,MA,2022
14,Massachusetts,Private,3974,2173542.450000004,381473.8083333333,421247.833333333,0.1755078732967376,0.1938070356845855,MA,1983
14,Massachusetts,Private,4761,2216259.041666662,333791.69833333296,365213.1799999997,0.1506104171276092,0.1647881269454956,MA,1984
14,Massachusetts,Private,6308,2298917.226666664,298572.6033333332,331927.56250000006,0.1298753172159195,0.1443843096494674,MA,1985
14,Massachusetts,Private,6842,2314321.638333329,269287.6124999997,292714.1591666664,0.116357035934925,0.1264794617891311,MA,1986
14,Massachusetts,Private,6772,2331130.7600000096,264399.6491666667,282763.4416666668,0.1134212017059326,0.1212988346815109,MA,1987
14,Massachusetts,Private,6668,2366543.3933333373,280413.17,300388.10000000003,0.1184906065464019,0.1269311606884002,MA,1988
14,Massachusetts,Private,6641,2341223.587499996,249568.40000000008,270397.8391666667,0.1065974235534668,0.1154942438006401,MA,1989
14,Massachusetts,Private,6467,2351030.160833333,251479.28166666656,272179.90666666644,0.106965571641922,0.1157704889774322,MA,1990
14,Massachusetts,Private,6049,2186767.7699999986,218461.6008333332,242038.63666666645,0.0999016016721725,0.1106832846999168,MA,1991
14,Massachusetts,Private,6093,2198192.8966666614,220552.2516666668,243362.0950000001,0.1003334373235702,0.1107100695371627,MA,1992
14,Massachusetts,Private,6114,2264423.365000004,222906.7366666667,240864.1808333333,0.0984386280179023,0.1063688844442367,MA,1993
14,Massachusetts,Private,6163,2281352.8000999973,214489.59191666648,231474.329725,0.0940186008810997,0.1014636307954788,MA,1994
14,Massachusetts,Private,6205,2283751.332133332,212722.97170000017,240328.72735000023,0.0931462943553924,0.1052341908216476,MA,1995
14,Massachusetts,Private,3266,2354160.658824993,212433.04916666672,240390.57160833335,0.0902372747659683,0.1021130681037902,MA,1996
14,Massachusetts,Private,3424,2430186.86086666,222596.55414166668,251507.38021666664,0.0915964767336845,0.1034930199384689,MA,1997
14,Massachusetts,Private,3479,2488018.938583335,246174.31249166655,272951.33889166656,0.0989439040422439,0.1097062975168228,MA,1998
14,Massachusetts,Private,3482,2474338.138450002,255835.2336499999,270295.8155666664,0.1033954173326492,0.1092396453022956,MA,1999
14,Massachusetts,Private,3370,2459284.373866659,194567.1356666665,218492.3725333332,0.0791153460741043,0.0888438820838928,MA,2000
14,Massachusetts,Private,3210,2438385.44307501,213189.70414999992,229376.3875249999,0.0874306857585907,0.0940689593553543,MA,2001
14,Massachusetts,Private,3324,2481845.9245083397,188524.8742333333,211203.44465833344,0.0759615525603294,0.0850993394851684,MA,2002
14,Massachusetts,Private,3173,2529556.6521333377,200300.8588916668,228928.59628333332,0.0791841745376586,0.0905014723539352,MA,2003
14,Massachusetts,Private,2975,2545048.4119083257,196395.9758249999,218607.20164166664,0.0771678760647773,0.0858951061964035,MA,2004
14,Massachusetts,Private,2606,2517638.7032416645,187360.39830833336,200328.7261833333,0.0744190961122512,0.0795700848102569,MA,2005
14,Massachusetts,Private,2385,2507347.5834999946,206029.56606666656,225470.23626666653,0.0821703225374221,0.0899238064885139,MA,2006
14,Massachusetts,Private,2368,2542176.72521666,193358.95149999997,205194.85466666656,0.0760603919625282,0.0807162001729011,MA,2007
14,Massachusetts,Private,2339,2475823.809958336,193069.98590833327,212649.62457499988,0.0779821202158927,0.0858904495835304,MA,2008
14,Massachusetts,Private,2267,2435485.571491668,215068.38284166652,240991.79489999992,0.0883061587810516,0.0989502072334289,MA,2009
14,Massachusetts,Private,2302,2475896.748158337,172567.08363333327,195340.4046583333,0.0696988180279731,0.0788968279957771,MA,2010
14,Massachusetts,Private,2294,2491400.1917833346,175835.922725,194148.1383250001,0.0705771520733833,0.0779273211956024,MA,2011
14,Massachusetts,Private,2290,2516402.6201499994,185129.1909250001,222802.08069166672,0.0735689848661422,0.0885399207472801,MA,2012
14,Massachusetts,Private,2205,2518893.627325001,171644.78883333338,189240.09009166667,0.0681429281830787,0.0751282572746276,MA,2013
14,Massachusetts,Private,2350,2582305.27125834,147836.64620833332,163659.27507499998,0.0572498701512813,0.0633772015571594,MA,2014
14,Massachusetts,Private,2855,2714809.833941656,171545.26550833337,193944.9750500001,0.063188686966896,0.071439616382122,MA,2015
14,Massachusetts,Private,3217,2764441.651549993,176533.07529166664,191055.2708666665,0.0638584941625595,0.0691117048263549,MA,2016
14,Massachusetts,Private,3292,2801253.3070083377,165124.12209166665,187832.9883833333,0.0589465163648128,0.067053198814392,MA,2017
14,Massachusetts,Private,3260,2959563.678449998,214035.19335000005,231709.67388333337,0.0723198503255844,0.0782918334007263,MA,2018
14,Massachusetts,Private,3099,2984460.763208332,197210.3023666665,231587.28189166647,0.0660790428519249,0.0775977000594139,MA,2019
14,Massachusetts,Private,2605,2637794.8601500047,169587.49247499998,189458.87073333323,0.0642913877964019,0.0718247145414352,MA,2020
14,Massachusetts,Private,2711,2791774.978283332,200655.8267,216188.4358083333,0.0718739256262779,0.0774376317858696,MA,2021
14,Massachusetts,Private,2704,2842755.674641673,188599.68348333333,215079.33162500008,0.0663439631462097,0.0756587460637092,MA,2022
14,Massachusetts,Public,685,367078.4466666661,221713.03333333315,240162.4208333331,0.6039935946464539,0.6542536616325378,MA,1983
14,Massachusetts,Public,819,392749.6358333334,222067.3083333333,244963.9358333333,0.5654169917106628,0.6237152218818665,MA,1984
14,Massachusetts,Public,1043,382889.0758333336,196864.98500000036,216486.5925000004,0.514156699180603,0.5654029250144958,MA,1985
14,Massachusetts,Public,1115,381276.7249999995,204314.1275,220453.19749999983,0.5358683466911316,0.5781973600387573,MA,1986
14,Massachusetts,Public,1075,366743.7774999996,214265.72000000023,228690.1083333336,0.5842381715774536,0.623569130897522,MA,1987
14,Massachusetts,Public,1113,388435.2558333332,228186.60333333325,239836.07666666663,0.5874508023262024,0.6174415946006775,MA,1988
14,Massachusetts,Public,1098,384125.9075000002,228094.0641666668,242696.73000000016,0.5938002467155457,0.6318155527114868,MA,1989
14,Massachusetts,Public,1082,384288.9591666662,227617.34583333333,240964.4291666668,0.5923078060150146,0.6270396709442139,MA,1990
14,Massachusetts,Public,1036,369947.63333333394,226071.5416666669,236682.1866666669,0.6110906600952148,0.6397721171379089,MA,1991
14,Massachusetts,Public,1009,358732.5725000004,213279.88833333328,224755.91999999995,0.5945372581481934,0.6265277862548828,MA,1992
14,Massachusetts,Public,1032,377303.6925000004,230280.34666666685,246473.09000000032,0.6103315353393555,0.6532485485076904,MA,1993
14,Massachusetts,Public,984,357263.9124750002,204911.79109166667,222075.3254333334,0.5735586285591125,0.6216002106666565,MA,1994
14,Massachusetts,Public,1021,365626.41114166746,215218.02525833345,230372.69841666665,0.5886282324790955,0.6300767660140991,MA,1995
14,Massachusetts,Public,494,348662.5690916663,202528.63273333327,214598.8085583332,0.5808728933334351,0.6154913902282715,MA,1996
